Id,ActivityDate,TotalSteps,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Average_TotalSteps,Average_VeryActiveMinutes,Average_FairlyActiveMinutes,Average_LightlyActiveMinutes,Average_SedentaryMinutes,Average_Calories
1503960366,3/25/2016,11004,33,12,205,804,1819,6547,17,13,170,995,2189
1503960366,3/26/2016,17609,89,17,274,588,2154,,,,,,
1503960366,3/27/2016,12736,56,5,268,605,1944,,,,,,
1503960366,3/28/2016,13231,39,20,224,1080,1932,,,,,,
1503960366,3/29/2016,12041,28,28,243,763,1886,,,,,,
1503960366,3/30/2016,10970,30,13,223,1174,1820,,,,,,
1503960366,3/31/2016,12256,33,12,239,820,1889,,,,,,
1503960366,4/1/2016,12262,47,21,200,866,1868,,,,,,
1503960366,4/2/2016,11248,40,11,244,636,1843,,,,,,
1503960366,4/3/2016,10016,15,30,314,655,1850,,,,,,
1503960366,4/4/2016,14557,43,18,285,757,2030,,,,,,
1503960366,4/5/2016,14844,36,18,341,736,2083,,,,,,
1503960366,4/6/2016,11974,27,12,228,1173,1861,,,,,,
1503960366,4/7/2016,10198,17,20,195,1208,1755,,,,,,
1503960366,4/8/2016,12521,46,22,212,1160,1895,,,,,,
1503960366,4/9/2016,12432,32,15,248,738,1883,,,,,,
1503960366,4/10/2016,10057,44,13,168,737,1755,,,,,,
1503960366,4/11/2016,10990,26,14,216,855,1811,,,,,,
1503960366,4/12/2016,224,0,0,9,32,50,,,,,,
1624580081,3/25/2016,1810,0,0,121,1319,1373,,,,,,
1624580081,3/26/2016,815,0,0,47,1393,1264,,,,,,
1624580081,3/27/2016,1985,0,0,112,1328,1350,,,,,,
1624580081,3/28/2016,1905,0,0,95,1345,1342,,,,,,
1624580081,3/29/2016,1552,0,0,66,1374,1300,,,,,,
1624580081,3/30/2016,1675,0,0,84,1356,1313,,,,,,
1624580081,3/31/2016,4506,7,4,144,1285,1498,,,,,,
1624580081,4/1/2016,9218,0,0,221,1219,1541,,,,,,
1624580081,4/2/2016,1556,0,0,88,1352,1327,,,,,,
1624580081,4/3/2016,2910,0,0,157,1283,1452,,,,,,
1624580081,4/4/2016,18464,0,0,270,1170,1574,,,,,,
1624580081,4/5/2016,1335,0,0,74,1366,1308,,,,,,
1624580081,4/6/2016,1004,0,0,55,1385,1276,,,,,,
1624580081,4/7/2016,1111,0,0,54,1386,1278,,,,,,
1624580081,4/8/2016,6344,0,0,143,1297,1409,,,,,,
1624580081,4/9/2016,3572,0,0,122,1318,1370,,,,,,
1624580081,4/10/2016,3910,7,7,186,1240,1555,,,,,,
1624580081,4/11/2016,10000,0,0,172,1268,1469,,,,,,
1624580081,4/12/2016,6627,0,0,89,604,706,,,,,,
1644430081,4/1/2016,4636,0,16,586,838,3323,,,,,,
1644430081,4/2/2016,20237,34,141,347,918,4029,,,,,,
1644430081,4/3/2016,12912,59,16,283,1082,3436,,,,,,
1644430081,4/4/2016,2819,4,4,87,1345,2444,,,,,,
1644430081,4/5/2016,9921,5,35,219,1181,3098,,,,,,
1644430081,4/6/2016,8046,18,41,137,1244,2925,,,,,,
1644430081,4/7/2016,11166,3,58,230,1149,3202,,,,,,
1644430081,4/8/2016,7842,7,43,161,1229,2928,,,,,,
1644430081,4/9/2016,13840,18,81,192,1149,3290,,,,,,
1644430081,4/10/2016,1329,0,0,35,207,489,,,,,,
1844505072,4/1/2016,6847,9,9,251,1171,1969,,,,,,
1844505072,4/2/2016,5367,0,0,263,1177,1889,,,,,,
1844505072,4/3/2016,2841,0,0,136,1114,1636,,,,,,
1844505072,4/4/2016,0,0,0,0,669,1347,,,,,,
1844505072,4/5/2016,0,0,0,0,1440,1347,,,,,,
1844505072,4/6/2016,7,0,0,1,1439,1349,,,,,,
1844505072,4/7/2016,6344,0,0,290,1150,1965,,,,,,
1844505072,4/8/2016,5316,0,0,221,1219,1824,,,,,,
1844505072,4/9/2016,4979,0,0,184,620,1807,,,,,,
1844505072,4/10/2016,6556,0,0,305,810,1971,,,,,,
1844505072,4/11/2016,5430,0,0,251,1189,1888,,,,,,
1844505072,4/12/2016,0,0,0,0,426,399,,,,,,
1927972279,4/1/2016,4317,0,11,192,854,2590,,,,,,
1927972279,4/2/2016,5662,0,0,267,858,2783,,,,,,
1927972279,4/3/2016,3198,0,0,146,1183,2449,,,,,,
1927972279,4/4/2016,2352,0,0,128,829,2380,,,,,,
1927972279,4/5/2016,2234,0,0,108,912,2344,,,,,,
1927972279,4/6/2016,1259,0,0,73,938,2202,,,,,,
1927972279,4/7/2016,768,0,0,43,1397,2130,,,,,,
1927972279,4/8/2016,519,0,0,34,1406,2088,,,,,,
1927972279,4/9/2016,2523,0,9,134,1250,2443,,,,,,
1927972279,4/10/2016,2105,0,0,139,805,2442,,,,,,
1927972279,4/11/2016,1209,0,0,73,842,2255,,,,,,
1927972279,4/12/2016,24,0,0,3,161,942,,,,,,
2022484408,4/1/2016,13603,72,16,213,1139,2645,,,,,,
2022484408,4/2/2016,5477,0,0,237,1203,2040,,,,,,
2022484408,4/3/2016,11144,25,22,279,1114,2395,,,,,,
2022484408,4/4/2016,15313,62,19,233,1126,2581,,,,,,
2022484408,4/5/2016,10805,36,37,298,1069,2735,,,,,,
2022484408,4/6/2016,15392,47,42,258,1093,2733,,,,,,
2022484408,4/7/2016,18247,72,62,252,1054,3021,,,,,,
2022484408,4/8/2016,13023,40,12,296,1092,2577,,,,,,
2022484408,4/9/2016,16267,44,16,302,1078,2811,,,,,,
2022484408,4/10/2016,10005,1,23,339,1077,2458,,,,,,
2022484408,4/11/2016,10106,41,16,272,1111,2568,,,,,,
2022484408,4/12/2016,6717,41,5,67,551,1140,,,,,,
2026352035,4/1/2016,2605,0,0,166,729,1407,,,,,,
2026352035,4/2/2016,1229,0,0,69,795,1237,,,,,,
2026352035,4/3/2016,2308,0,0,115,720,1330,,,,,,
2026352035,4/4/2016,6679,0,0,263,644,1583,,,,,,
2026352035,4/5/2016,5645,0,0,248,621,1538,,,,,,
2026352035,4/6/2016,3180,0,0,185,738,1421,,,,,,
2026352035,4/7/2016,2767,0,0,170,673,1392,,,,,,
2026352035,4/8/2016,3762,0,0,173,719,1425,,,,,,
2026352035,4/9/2016,3098,0,0,185,700,1413,,,,,,
2026352035,4/10/2016,5142,0,0,230,654,1515,,,,,,
2026352035,4/11/2016,3279,0,0,164,694,1405,,,,,,
2026352035,4/12/2016,1019,0,0,64,223,600,,,,,,
2320127002,4/1/2016,0,0,0,0,1440,1324,,,,,,
2320127002,4/2/2016,0,0,0,0,1440,1324,,,,,,
2320127002,4/3/2016,0,0,0,0,1440,1324,,,,,,
2320127002,4/4/2016,0,0,0,0,1440,1324,,,,,,
2320127002,4/5/2016,4931,0,0,175,1265,1708,,,,,,
2320127002,4/6/2016,6999,0,0,320,1120,1950,,,,,,
2320127002,4/7/2016,1846,0,0,93,1347,1508,,,,,,
2320127002,4/8/2016,3417,0,0,153,1287,1625,,,,,,
2320127002,4/9/2016,4863,1,11,208,1220,1772,,,,,,
2320127002,4/10/2016,2277,0,0,103,1337,1530,,,,,,
2320127002,4/11/2016,11230,10,2,390,1038,2206,,,,,,
2320127002,4/12/2016,2098,0,0,69,617,790,,,,,,
2347167796,3/29/2016,10272,2,58,208,700,2041,,,,,,
2347167796,3/30/2016,10533,21,35,255,615,2187,,,,,,
2347167796,3/31/2016,6760,0,0,250,613,1929,,,,,,
2347167796,4/1/2016,8328,0,33,212,804,1935,,,,,,
2347167796,4/2/2016,15459,51,16,327,583,2438,,,,,,
2347167796,4/3/2016,7485,0,0,324,491,2035,,,,,,
2347167796,4/4/2016,10254,21,25,231,638,2099,,,,,,
2347167796,4/5/2016,10114,18,9,269,696,2096,,,,,,
2347167796,4/6/2016,11107,14,46,196,759,2058,,,,,,
